Course,Platform,completion percent,date,author
Learn Keras: Build 4 Deep Learning Applications,udemy,0,2023-05-05T03:57:09Z,Adam Eubanks
Amazon FBA Course - How to Sell on Amazon MASTERY Course,udemy,80,2023-04-29T05:44:02Z,COURSE ENVY
Tensorflow 2.0: Deep Learning and Artificial Intelligence,udemy,1,2023-04-06T02:56:00Z,Lazy Programmer Inc.
Standard 9.2 - Part 1 Foundation Enterprise Architect Course,udemy,26,2023-03-31T16:45:53Z,Scott Duffy  • 900.000+ Students
Learn Github Actions for CI/CD DevOps Pipelines,udemy,35,2023-03-04T07:15:28Z,Houssem Dellai
Getting started with Azure Cloud,udemy,0,2023-03-04T05:23:10Z,Houssem Dellai
Graph Theory Algorithms,udemy,50,2023-02-10T02:18:01Z,William Fiset
Flask Web Framework,udemy,20,2023-02-10T02:17:23Z,Gopi P
Learn Azure DevOps CI/CD pipelines,udemy,1,2023-02-06T03:05:48Z,Houssem Dellai
Dynamic Programming,udemy,10,2023-02-06T01:06:43Z,Vijay A
Recursion and Backtracking (Memoization; D&C; Combinations),udemy,100,2023-02-06T00:27:52Z,Arbi Elezi
Master the Coding Interview: Data Structures + Algorithms,udemy,25,2023-01-30T15:32:58Z,Andrei Neagoie
Styling Applications with Angular Material,pluralsight,54.59674597,2023-05-05T16:09:00.057+00:00,Ajden Towfeek
Building Bots with Microsoft’s Bot Framework 4: Getting Started,pluralsight,12.47359142,2023-05-05T03:46:49.285+00:00,Matthew Kruczek
Angular 14: The Big Picture,pluralsight,14.6592617,2023-05-02T13:49:27.766+00:00,Joe Eames
Getting Started with Amazon Lex,pluralsight,57.77223706,2023-05-01T15:27:28.781+00:00,Mike Erickson
Designing Data Pipelines with TensorFlow 2.0,pluralsight,43.16127896,2023-05-01T15:24:55.188+00:00,Chase DeHan
Big Picture: Enterprise Data Management,pluralsight,100,2023-04-25T14:14:04.474+00:00,Joseph Cline
Kubernetes Package Administration with Helm,pluralsight,100,2023-04-01T07:49:49.436+00:00,Andrew Pruski
Asynchronous Programming in C# 10,pluralsight,100,2023-03-27T00:42:08.645+00:00,Filip Ekberg
ChatGPT and Generative AI: The Big Picture,pluralsight,100,2023-03-24T02:43:50.437+00:00,Amber Israelsen
Cyber Security: Executive Briefing,pluralsight,100,2023-03-15T01:01:18.625+00:00,John Elliott
Managing Kubernetes Clusters with Lens 5,pluralsight,100,2023-03-12T14:24:55.074+00:00,Ben Weissman
Understanding AWS Core Services,pluralsight,100,2023-03-05T01:38:12.986+00:00,David Tucker
Introduction to Amazon SageMaker Ground Truth,pluralsight,100,2023-02-27T23:44:22.351+00:00,AWS
Introduction to Amazon SageMaker Neo,pluralsight,100,2023-02-27T23:33:13.689+00:00,AWS
Introduction to AWS Step Functions,pluralsight,100,2023-02-27T23:23:21.424+00:00,AWS
Put Your Machine Learning on Autopilot,pluralsight,100,2023-02-26T12:52:14.496+00:00,Big Data LDN
Watched How to Deploy Bot Framework Chatbot to Azure and Embed your Bot in Website using Web Chat,youtube,100,2023-05-04T12:15:43.772Z,https://www.youtube.com/watch?v=Lis4AIX8DWw
Watched Creating your first Azure VM!,youtube,100,2023-02-10T15:57:23.050Z,https://www.youtube.com/watch?v=_UuO52KgwGk
Watched Azure Master Class v2 - Module 7 - VM and VMSS,youtube,100,2023-02-09T18:58:46.586Z,https://www.youtube.com/watch?v=OykMc6wKMJY
Watched Azure Stack HCI Comprehensive Demo with Microsoft's Jeff Woolsey,youtube,100,2023-02-09T17:43:48.445Z,https://www.youtube.com/watch?v=EPvDkpOpAGM
Watched Running Azure On-Premises!,youtube,100,2023-02-09T17:37:22.972Z,https://www.youtube.com/watch?v=PwZdeUUehEY
Watched How To Do Niche Research On Etsy For Print On Demand - EverBee Research Tool Tutorial,youtube,100,2023-02-09T00:00:29.569Z,https://www.youtube.com/watch?v=gktMzEVTFLU
Watched Running Azure On-Premises!,youtube,100,2023-02-08T15:39:59.001Z,https://www.youtube.com/watch?v=PwZdeUUehEY
Watched Running Azure On-Premises!,youtube,100,2023-02-07T14:21:45.523Z,https://www.youtube.com/watch?v=PwZdeUUehEY
Watched I Couldn't Believe THIS About Mob Programming...,youtube,100,2023-04-07T00:16:58.305Z,https://www.youtube.com/watch?v=ikilHGYk5Fs
Watched Using Chat GPT to write Etsy and ecommerce product description templates,youtube,100,2023-05-06T11:42:19.255Z,https://www.youtube.com/watch?v=3O_gZZ3s3VY
Watched How to use Chat GPT to Grow Amazon Flipkart Meesho  Ecommerce Business | #chatgpt,youtube,100,2023-05-06T11:38:54.059Z,https://www.youtube.com/watch?v=waZjmVMozzA
Watched How To Use ChatGPT For Ecommerce In 2023 (Step By Step),youtube,100,2023-05-06T11:38:35.938Z,https://www.youtube.com/watch?v=4RHCsrDyKVk
Watched Rocket.Chat (Group Chat System),youtube,100,2023-05-04T12:17:52.556Z,https://www.youtube.com/watch?v=KaC_55U-Wl0
Watched What is Rocket Chat?,youtube,100,2023-05-04T12:16:07.884Z,https://www.youtube.com/watch?v=IzJ11kvM-P8
Watched Google's  NEW AI 'Dreamix' Takes the Industry By STORM! (NOW UNVEILED!),youtube,100,2023-04-17T14:08:00.116Z,https://www.youtube.com/watch?v=i5sO-BOFVoo
Dotnet In person DevOn Software event on april 8,InPerson,100,08-04-2023,https://github.com/kurtzace/diary2023/issues/6
Startup Growth Networking Meetup in Bangalore,InPerson,100,01-04-2023,https://github.com/kurtzace/diary2023/issues/7
Watched How to configure Customer Loyalty / reward points for your O2VEND store,youtube,100,2023-03-13T16:33:09.239Z,https://www.youtube.com/watch?v=WBSjAvaUOp4
Watched How to create site pages and customize footer menu's in your O2VEND eCommerce Website,youtube,100,2023-03-13T16:32:47.183Z,https://www.youtube.com/watch?v=nJsY8fm6sN4
Watched How to configure O2VEND Point of sale,youtube,100,2023-03-13T16:30:50.991Z,https://www.youtube.com/watch?v=JmyQwKHGMhQ
Watched How to use O2VEND Point of sale - Sales screen,youtube,100,2023-03-13T16:26:55.692Z,https://www.youtube.com/watch?v=oGz5OfyQ6OY
Watched How to connect different payment gateways from O2VEND eCommerce website,youtube,100,2023-03-13T16:24:16.451Z,https://www.youtube.com/watch?v=skOUY4B-GIA
"Watched How to add custom styles, Analytics and more in Page headers of your O2VEND eCommerce website",youtube,100,2023-03-13T16:22:35.944Z,https://www.youtube.com/watch?v=Uv6Iu_X2G-U
Watched Setup Shipping Methods for your O2VEND eCommerce Website,youtube,100,2023-03-13T16:20:40.863Z,https://www.youtube.com/watch?v=oTHVaZPAX_w
Watched How to Create FBA Shipment for Amazon In 2022 | Amazon FBA New Beta version Shipment Creation,youtube,100,2023-03-13T14:15:39.283Z,https://www.youtube.com/watch?v=bXNVXbSF6Rk
Watched Create any Custom widget for your O2VEND eCommerce website using HTML widget,youtube,100,2023-03-12T23:49:04.723Z,https://www.youtube.com/watch?v=5JrN2K_Z8HY
Watched Setup Shipping Methods for your O2VEND eCommerce Website,youtube,100,2023-03-12T13:40:17.039Z,https://www.youtube.com/watch?v=oTHVaZPAX_w
Watched How to create site pages and customize footer menu's in your O2VEND eCommerce Website,youtube,100,2023-03-12T13:37:14.327Z,https://www.youtube.com/watch?v=nJsY8fm6sN4
Watched Create any Custom widget for your O2VEND eCommerce website using HTML widget,youtube,100,2023-03-12T13:30:04.724Z,https://www.youtube.com/watch?v=5JrN2K_Z8HY
Watched How to create Spacebar widget and Recently viewed widget for your O2VEND eCommerce website,youtube,100,2023-03-12T13:24:19.796Z,https://www.youtube.com/watch?v=5SzP9ifxN-Q
"Watched How to create Brand, Category and Product widgets in your O2VEND eCommerce website",youtube,100,2023-03-12T13:21:08.099Z,https://www.youtube.com/watch?v=Mr4IQ45dlcc
Watched How to create Gallary widget and Discount widgets in you O2VEND eCommerce website.,youtube,100,2023-03-12T13:16:38.386Z,https://www.youtube.com/watch?v=1ETKUjzH5Hc
Watched How to create Category Widget and Product widgets in your O2VEND eCommerce website,youtube,100,2023-03-12T13:14:46.308Z,https://www.youtube.com/watch?v=UQOyYl3mPP0
Watched How to setup new theme and customize theme data in O2VEND eCommerce website,youtube,100,2023-03-12T09:37:26.445Z,https://www.youtube.com/watch?v=TjUYVNQgCfo
Watched How to create and manage products in O2VEND,youtube,100,2023-03-12T09:33:35.314Z,https://www.youtube.com/watch?v=NogFAz29zvQ
"Watched How to update Business Logo, address, tax, country and tax details in O2VEND store",youtube,100,2023-03-12T08:32:51.306Z,https://www.youtube.com/watch?v=cULvEUkhVys
